,0
I'm Not The Only OneSam Smith,"[Verse 1]
You and me, we made a vow
For better or for worse
I can't believe you let me down
But the proof's in the way it hurts
For months on end I've had my doubts
Denying every tear
I wish this would be over now
But I know that I still need you here

[Chorus]
You say I'm crazy
'Cause you don't think I know what you've done
But when you call me baby
I know I'm not the only one

[Verse 2]
You've been so unavailable
Now, sadly, I know why
Your heart is unobtainable
Even though Lord knows you kept mine

[Chorus]
You say I'm crazy
'Cause you don't think I know what you've done
But when you call me baby
I know I'm not the only one

[Bridge]
I have loved you for many years
Maybe I am just not enough
You've made me realise my deepest fear
By lying and tearing us up

[Chorus]
You say I'm crazy
'Cause you don't think I know what you've done
But when you call me baby
I know I'm not the only one

You say I'm crazy
'Cause you don't think I know what you've done
But when you call me baby
I know I'm not the only one

[Outro]
I know I'm not the only one
I know I'm not the only one
And I know, and I know, and I know, and I know, and I know, and I know, know
I know I'm not the only one"
Take Me To ChurchHozier,"[Produced by Hozier and Rob Kirwan]

[Video directed by Brendan Canty and Conal Thomson]

[Verse 1]
My lover's got humor
She's the giggle at a funeral
Knows everybody's disapproval
I should've worshiped her sooner
If the heavens ever did speak
She's the last true mouthpiece
Every Sunday's getting more bleak
A fresh poison each week
""We were born sick""
You heard them say it
My church offers no absolutes
She tells me ""Worship in the bedroom""
The only Heaven I'll be sent to
Is when I'm alone with you
I was born sick, but I love it
Command me to be well

[Pre-Chorus]
Amen, Amen, Amen

[Chorus]
Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins and you can sharpen your knife
Offer me that deathless death
Good God, let me give you my life
Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins and you can sharpen your knife
Offer me that deathless death
Good God, let me give you my life

[Verse 2]
If I'm a pagan of the good times
My lover's the sunlight
To keep the goddess on my side
She demands a sacrifice
Drain the whole sea
Get something shiny
Something meaty for the main course
That's a fine looking high horse
What you got in the stable?
We've a lot of starving faithful
That looks tasty
That looks plenty
This is hungry work

[Chorus]
Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins so you can sharpen your knife
Offer me my deathless death
Good God, let me give you my life
Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins so you can sharpen your knife
Offer me my deathless death
Good God, let me give you my life

[Bridge]
No masters or kings when the ritual begins
There is no sweeter innocence than our gentle sin
In the madness and soil of that sad earthly scene
Only then I am human
Only then I am clean

[Pre-Chorus]
Oh, oh Amen, Amen, Amen

[Chorus]
Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins and you can sharpen your knife
Offer me that deathless death
Good God, let me give you my life
Take me to church
I'll worship like a dog at the shrine of your lies
I'll tell you my sins and you can sharpen your knife
Offer me that deathless death
Good God, let me give you my life"
Love Me HarderAriana Grande,"[Verse 1: Ariana Grande]
Tell me something I need to know
Then take my breath and never let it go
If you just let me invade your space
I’ll take the pleasure, take it with the pain
And if in the moment, I bite my lip
Baby, in that moment, you’ll know this is
Something bigger than us and beyond bliss
Give me a reason to believe it

[Chorus: Ariana Grande]
'Cause if you want to keep me
You gotta, gotta, gotta, gotta
Got to love me harder
And if you really need me
You gotta, gotta, gotta, gotta
Got to love me harder (Lo-love me harder)
Ooh-ooh-ooh-ooh
Love me, love me, love me
Ooh-ooh-ooh-ooh
Harder, harder, harder

[Verse 2: The Weeknd]
I know your motives and you know mine
The ones that love me, I tend to leave behind
If you know about me and choose to stay
Then take this pleasure and take it with the pain
And if in the moment you bite your lip
When I get you moaning, you know it's real
Can you feel the pressure between your hips?
I’ll make it feel like the first time

[Chorus: Ariana Grande, The Weeknd]
'Cause if you want to keep me
You gotta, gotta, gotta, gotta
Got to love me harder (I'ma love you harder, hey!)
And if you really need me
You gotta, gotta, gotta, gotta
Got to love me harder (Love me, baby, love me) (Lo-love me harder)
Ooh-ooh-ooh-ooh
Love me, love me, love me
Ooh-ooh-ooh-ooh
Harder, harder, harder (Oh)
Ooh-ooh-ooh-ooh
Love me, love me, love me
Ooh-ooh-ooh-ooh
Harder, harder, harder (You gotta love me harder)

[Bridge: The Weeknd, Ariana Grande]
So what do I do if I can’t figure it out? (Figure it out)
You got to try, try, try again, yeah (Oh whoa)
So what do I do if I can’t figure it out? (Figure it out)
I’m gonna leave, leave, leave again

[Chorus: Ariana Grande, The Weeknd, both]
'Cause if you want to keep me (Hey!)
You gotta, gotta, gotta, gotta
Got to love me harder (I'ma love you, love you, love)
And if you really need me (Ooh)
You gotta, gotta, gotta, gotta
Got to love me harder (Got to love me, baby)
'Cause if you want to keep me (Hey)
You gotta, gotta, gotta, gotta
Got to love me harder (Love me harder, love me harder)
And if you really need me
You gotta, gotta, gotta, gotta (I'ma do it, do it, do it)
Got to love me harder (I'ma love you harder, hey!)

[Outro: Ariana Grande, The Weeknd]
Ooh-ooh-ooh-ooh
Love me, love me, love me (Love me)
Ooh-ooh-ooh-ooh
Harder, harder, harder (Boy, you gotta love me, love me, baby)
Ooh-ooh-ooh-ooh
Love me, love me, love me (Just a little bit harder, harder, baby)
Ooh-ooh-ooh-ooh
Harder, harder, harder"
Lips Are MovinMeghan Trainor,"[Intro]
If your lips are movin, if your lips are movin
If your lips are movin, then you’re lyin’, lyin’, lyin’, baby
If your lips are movin, if your lips are movin (Oh)
If your lips are movin, I said you’re lyin’, lyin’, lyin’, baby

[Verse 1]
Boy, look at me in my face
Tell me that you’re not just about this bass (Uh)
You really think I could be replaced
Nah, I come from outer space
And I'm a classy girl, I'mma hold it up
You're full of something, but it ain't love
And what we got, straight overdue
Go find somebody new

[Pre-Chorus]
You can buy me diamond earrings and deny-ny-ny, ny-ny-ny, deny-ny
But I smell her on your collar, so goodbye-bye-bye, bye-bye-bye

[Chorus]
I know you're lyin' (Lyin')
'Cause your lips are movin' (Movin')
Tell me, do you think I'm dumb?
I might be young (Young), but I ain't stupid (Stupid)
Talking around in circles with your tongue
I gave you bass (Bass), you gave me sweet talk (Sweet talk)
Saying how I’m your number one
But I know you lie (Lie)
'Cause your lips are movin (Movin)
Baby, don't you know I'm done?

[Interlude]
If your lips are movin, if your lips are movin
If your lips are movin, then you’re lyin’, lyin’, lyin’, baby
If your lips are movin, if your lips are movin (Oh)
If your lips are movin, then you’re lyin’, lyin’, lyin’ (Hey)

[Verse 2]
Hey baby, don't you bring them tears
'Cause it's too late, too late, babe, oh (Ha)
You only love me when you're here
You're so two-faced, two-faced, babe, oh

[Pre-Chorus]
You can buy me diamond earrings and deny-ny-ny, ny-ny-ny, deny-ny (Yes you can, babe)
But I smell her on your collar, so goodbye-bye-bye, bye-bye-bye
(Hey)

[Chorus]
I know you're lyin' (Lyin')
'Cause your lips are movin' (Movin')
Tell me, do you think I'm dumb?
I might be young (Young), but I ain't stupid (Stupid)
Talking around in circles with your tongue
I gave you bass (Bass), you gave me sweet talk (Sweet talk)
Saying how I’m your number one
But I know you lie (Lie)
'Cause your lips are movin (Movin)
Baby, don't you know I'm done?

[Interlude]
Come on, say
If your lips are movin (Hey, hey), if your lips are movin (Hey, hey)
If your lips are movin, then you’re lyin’, lyin’, lyin’
If your lips are movin (Alright now), If your lips are movin
(I wanna hear yall sing it with me)
If your lips are movin, then you’re lyin’, lyin’, lyin’ (Here we go)

[Chorus]
I know you're lyin' (Lyin')
'Cause your lips are movin' (Movin')
Tell me, do you think I'm dumb? (Ohh)
I might be young (Young), but I ain't stupid (Stupid)
Talking around in circles with your tongue
I gave you bass (Bass), you gave me sweet talk (Sweet talk)
Saying how I’m your number one
But I know you lie (I know you lie)
'Cause your lips are movin (Your lips are movin)
Baby, don't you know I'm done?"
Thinking Out LoudEd Sheeran,"[Verse 1]
When your legs don't work like they used to before
And I can't sweep you off of your feet
Will your mouth still remember the taste of my love?
Will your eyes still smile from your cheeks?
And darling, I will be loving you till we're seventy
And baby, my heart could still fall as hard at twenty-three
And I'm thinking 'bout how

[Pre-Chorus 1]
People fall in love in mysterious ways
Maybe just the touch of a hand
Well me, I fall in love with you every single day
I just wanna tell you I am

[Chorus]
So honey, now, take me into your loving arms
Kiss me under the light of a thousand stars
Place your head on my beating heart, I'm thinking out loud
And maybe we found love right where we are

[Verse 2]
When my hair's all but gone and my memory fades
And the crowds don't remember my name
When my hands don't play the strings the same way
I know you will still love me the same
'Cause, honey, your soul could never grow old, it's evergreen
And baby, your smile's forever in my mind and memory
And I'm thinking 'bout how

[Pre-Chorus 2]
People fall in love in mysterious ways
And maybe it's all part of a plan
Well I'll just keep on making the same mistakes
Hoping that you'll understand

[Chorus]
That, baby, now, take me into your loving arms
Kiss me under the light of a thousand stars
Place your head on my beating heart, I'm thinking out loud
And maybe we found love right where we are

[Chorus]
So baby, now, take me into your loving arms
Kiss me under the light of a thousand stars
Oh darling, place your head on my beating heart, I'm thinking out loud
That maybe we found love right where we are
Oh baby, we found love right where we are
And we found love right where we are"
The Heart Wants What It WantsSelena Gomez,"[Intro]
What the heart wants
What the heart wants
What the heart wants (Wants, wants, wants)

[Verse 1]
You got me sipping on something
I can't compare to nothing I've ever known
I'm hoping that after this fever I'll survive
I know I'm acting a bit crazy
Strung out, a little bit hazy
Hand over heart, I'm praying
That I'm gonna make it out alive

[Pre-Chorus]
The bed's getting cold and you're not here
The future that we hold is so unclear
But I'm not alive until you call
And I'll bet the odds against it all
Save your advice, 'cause I won't hear
You might be right, but I don't care
There's a million reasons why I should give you up

[Chorus]
But the heart wants what it wants
The heart wants what it wants

[Verse 2]
You got me scattered in pieces
Shining like stars and screaming
Lighting me up like Venus
But then you disappear and make me wait
And every second's like torture
Heroin drip, no more so
Finding a way to let go
Baby, baby, no, I can't escape

[Pre-Chorus]
The bed's getting cold and you're not here
The future that we hold is so unclear
But I'm not alive until you call
And I'll bet the odds against it all
Save your advice, 'cause I won't hear
You might be right, but I don't care
There's a million reasons why I should give you up

[Chorus]
But the heart wants what it wants
The heart wants what it wants
The heart wants what it wants
The heart wants what it wants

[Bridge]
This is a modern fairytale
No happy endings, no wind in our sails
But I can't imagine a life without
Breathless moments
Breaking me down, down, down, down

[Pre-Chorus]
The bed's getting cold and you're not here
The future that we hold is so unclear
But I'm not alive until you call
And I'll bet the odds against it all
Save your advice, 'cause I won't hear
You might be right, but I don't care
There's a million reasons why I should give you up

[Chorus]
But the heart wants what it wants
The heart wants what it wants
The heart wants what it wants
The heart wants what it wants

[Outro]
The heart wants what it wants, baby
The heart wants what it wants, baby
It wants what it wants
It wants what it wants
The heart wants what it wants, baby
The heart wants what it wants, baby"
The Hanging TreeJames Newton Howard,"[Verse 1]
Are you, are you coming to the tree?
Where they strung up a man
They say who murdered three
Strange things did happen here
No stranger would it be
If we met at midnight in the hanging tree

[Verse 2]
Are you, are you coming to the tree?
Where a dead man called out for his love to flee
Strange things did happen here
No stranger would it be
If we met at midnight in the hanging tree

[Verse 3]
Are you, are you coming to the tree?
Where I told you to run
So we’d both be free
Strange things did happen here
No stranger would it be
If we met at midnight in the hanging tree

[Verse 4]
Are you, are you coming to the tree?
Wear a necklace of rope
Side by side with me
Strange things did happen here
No stranger would it be
If we met at midnight in the hanging tree

[Verse 3]
Are you, are you coming to the tree?
Where I told you to run
So we’d both be free
Strange things did happen here
No stranger would it be
If we met at midnight in the hanging tree

[Verse 1]
Are you, are you coming to the tree?
Where they strung up a man
They say who murdered three
Strange things did happen here
No stranger would it be
If we met at midnight in the hanging tree

[Verse 2]
Are you, are you coming to the tree?
Where a dead man called out for his love to flee
Strange things did happen here
No stranger would it be
If we met at midnight in the hanging tree"
Heroes (We Could Be)Alesso,"[Verse 1: Tove Lo]
We could hide away in daylight
We go undercover, wait out the Sun
Got a secret side in plain sight
Where the streets are empty, that’s where we run

[Pre-Chorus: Tove Lo]
Everyday people do everyday things but I
Can't be one of them
I know you hear me now, we are a different kind
We can do anything

[Chorus: Tove Lo]
We could be heroes
We could be heroes, me and you
We could be heroes
We could be heroes, me and you
We could be

[Verse 2: Tove Lo]
Anybody’s got the power
They don't see it ‘cause they don't understand
Spin around and round for hours
You and me, we got the World in our hands

[Pre-Chorus: Tove Lo]
Everyday people do everyday things but I
Can't be one of them
I know you hear me now, we are a different kind
We can do anything

[Chorus: Tove Lo]
We could be heroes
We could be heroes, me and you
We could be heroes
We could be heroes, me and you
We could be

[Chorus: Tove Lo]
We could be heroes
We could be heroes
Me and you...
We could be

[Bridge: Tove Lo]
All we're looking for is love and a little light
Love and a little light
(We could be)
All we're looking for is love and a little light
Love and a little light

[Refrain: Tove Lo]
We could be heroes
We could be heroes
Me and you...
We could be"
AnimalsMaroon 5,"[Chorus]
Baby, I'm preying on you tonight
Hunt you down, eat you alive
Just like animals, animals, like animals-mals
Maybe you think that you can hide
I can smell your scent from miles
Just like animals, animals, like animals-mals
Baby, I'm... (Hey)

[Verse 1]
So what you trying to do to me? (Hey)
It's like we can't stop, we're enemies (Hey)
But we get along when I'm inside you, yeah (Hey)
You're like a drug that's killing me (Hey)
I cut you out entirely (Hey)
But I get so high when I'm inside you

[Pre-Chorus]
Yeah, you can start over, you can run free (Hey)
You can find other fish in the sea (Hey)
You can pretend it's meant to be (Hey)
But you can't stay away from me
I can still hear you making that sound (Hey)
Taking me down, rolling on the ground (Hey)
You can pretend that it was me, but no, oh (Hey)

[Chorus]
Baby, I'm preying on you tonight
Hunt you down, eat you alive
Just like animals, animals, like animals-mals
Maybe you think that you can hide
I can smell your scent from miles
Just like animals, animals, like animals-mals
Baby, I'm... (Hey)

[Verse 2]
So if I run, it's not enough (Hey)
You're still in my head, forever stuck (Hey)
So you can do what you wanna do, yeah (Hey)
I love your lies, I'll eat 'em up (Hey)
But don't deny the animal (Hey)
That comes alive when I'm inside you

[Pre-Chorus]
Yeah, you can start over, you can run free (Hey)
You can find other fish in the sea (Hey)
You can pretend it's meant to be
But you can't stay away from me
I can still hear you making that sound (Hey)
Taking me down, rolling on the ground (Hey)
You can pretend that it was me, but no, oh (Hey)

[Chorus]
Baby, I'm preying on you tonight
Hunt you down, eat you alive
Just like animals, animals, like animals-mals
Maybe you think that you can hide
I can smell your scent from miles
Just like animals, animals, like animals-mals
Baby, I'm...

[Bridge]
Don't tell no lie, lie, lie, lie
You can't deny-ny-ny-ny
The beast inside, si-si-side
Yeah, yeah, yeah
No girl don't lie, lie, lie, lie (No, no, don't lie)
You can't deny-ny-ny-ny (You can't deny)
The beast inside, si-si-side
Yeah, yeah, yeah, yo-oh, oh, oh, oh, oh, oh, oh
Just like animals, animals, like animals-mals (Hey, hey)
Just like animals, animals, like animals-mals, oww!
(Yeah, yeah, yeah)

[Chorus]
Baby, I'm preying on you tonight
Hunt you down, eat you alive
Just like animals, animals, like animals-mals
Maybe you think that you can hide
I can smell your scent from miles
Just like animals, animals, like animals-mals
Baby, I'm...

[Outro]
Don't tell no lie, lie, lie, lie
You can't deny-ny-ny-ny
The beast inside, si-si-side
Yeah, yeah, yeah
No girl don't lie, lie, lie, lie (No, no, don't lie)
You can't deny-ny-ny-ny (You can't deny)
The beast inside, si-si-side
Yeah, yeah, yeah"
Prayer In CLillywood,"[Verse 1]
Yeah, you never said a word
You didn't send me no letter
Don't think I could forgive you
See, our world is slowly dying
I'm not wasting no more time
Don't think I could believe you

[Verse 2]
Yeah, our hands will get more wrinkled
And our hair will be grey
Don't think I could forgive you
And see the children are starving
And their houses were destroyed
Don't think they could forgive you

[Verse 3]
Hey, when seas will cover lands
And when man will be no more
Don't think you can forgive you
Yeah, when there'll just be silence
And when life will be over
Don't think you will forgive you"
GhostElla Henderson,"[Chorus]
I keep going to the river to pray
'Cause I need something that can wash out the pain
And at most, I'm sleeping all these demons away
But your ghost, the ghost of you
It keeps me awake

[Verse 1]
My friends had you figured out
Yeah they saw what's inside of you
You tried hiding another you
But your evil was coming through
These eyes sitting on the wall
They watch every move I make
Bright light living in the shade
Your cold heart makes my spirit shake

[Pre-Chorus]
I had to go through hell to prove I'm not insane
Had to meet the devil just to know his name
And that's when my love was burning
Yeah it's still burning

[Chorus]
I keep going to the river to pray
'Cause I need something that can wash out the pain
And at most, I'm sleeping all these demons away
But your ghost, the ghost of you
It keeps me awake
I keep going to the river to pray
'Cause I need something that can wash out the pain
And at most, I'm sleeping all these demons away
But your ghost, the ghost of you
It keeps me awake

[Verse 2]
Each time that I think you go
I turn around and you're creeping in
And I let you under my skin
'Cause I love living innocent
Oh, you never told me
True love was gonna hurt
True pain I don't deserve
Truth is that I never learned

[Chorus]
I keep going to the river to pray
'Cause I need something that can wash out the pain
And at most, I'm sleeping all these demons away
But your ghost, the ghost of you
It keeps me awake
I keep going to the river to pray
'Cause I need something that can wash out the pain
And at most, I'm sleeping all these demons away
But your ghost, the ghost of you
It keeps me awake

[Bridge]
Give up the ghost, give up the ghost
Give up the ghost, stop the haunting baby
Give up the ghost, give up the ghost
Give up the ghost, no more haunting baby
I keep going to the river...

[Chorus]
I keep going to the river to pray
'Cause I need something that can wash out the pain
And at most, I'm sleeping all these demons away
But your ghost, the ghost of you
It keeps me awake
I keep going to the river to pray
'Cause I need something that can wash out the pain
And at most, I'm sleeping all these demons away
But your ghost, the ghost of you
It keeps me awake"
CenturiesFall Out Boy,"[Intro]
Du du du du-du du du
Du du du du du-du du du

[Chorus]
Some legends are told
Some turn to dust or to gold
But you will remember me
Remember me, for centuries
And just one mistake
Is all it will take
We'll go down in history
Remember me for centuries
Hey, hey, hey
Remember me for centuries

[Verse 1]
Mummified my teenage dreams
No, it’s nothing wrong with me
The kids are all wrong, the story’s all off
Heavy metal broke my heart
Come on, come on, and let me in
Bruises on your thighs like my fingerprints
And this is supposed to match
The darkness that you felt
I never meant for you to fix yourself

[Chorus]
Some legends are told
Some turn to dust or to gold
But you will remember me
Remember me, for centuries
And just one mistake
Is all it will take
We'll go down in history
Remember me for centuries
Hey, hey, hey
Remember me for centuries

[Verse 2]
And I can't stop 'til the whole world knows my name
Cause I was only born inside my dreams
Until you die for me, as long as there's a light, my shadow's over you
Cause I am the opposite of amnesia
And you're a cherry blossom
You're about to bloom
You look so pretty, but you're gone so soon

[Chorus]
Some legends are told
Some turn to dust or to gold
But you will remember me
Remember me, for centuries
And just one mistake
Is all it will take
We'll go down in history
Remember me for centuries
Hey, hey, hey
Remember me for centuries

[Bridge]
We’ve been here forever
And here’s the frozen proof
I could scream forever
We are the poisoned youth

[Chorus]
Some legends are told
Some turn to dust or to gold
But you will remember me
Remember me, for centuries
And just one mistake
Is all it will take
We'll go down in history
Remember me for centuries
Hey, hey, hey
Remember me for centuries"
Time Of Our LivesPitbull,"[Pre-Chorus: Ne-Yo]
I knew my rent was gon' be late about a week ago
I worked my ass off, but I still can't pay it though
But I got just enough
To get off in this club
Have me a good time, before my time is up
Hey, let's get it now

[Chorus: Ne-Yo]
Oooh!!  I want the time of my life
Oh baby, ooh...
Give me the time of my life
Eh, eh, eh
Let's get it now

[Verse 1: Pitbull]
Mr. Worldwide
Ne-yo
This is the last $20 I got
But I'mma have a good time ballin' or out
Tell the bartender, line up some shots
Cause I'mma get loose tonight
She's on fire, she's so hot
I'm no liar, she burn up the spot
Look like Mariah, I took another shot
Told her drop, drop, drop, drop it like it's hot
Dirty talk, dirty dance
She a freaky girl and I'm a freaky man
She on the rebound, broke up with her ex
And I'm like Rodman, ready on deck
I told her, ""Wanna ride out?"", and she said yes
We didn't go to church, but I got blessed

[Pre-Chorus: Ne-Yo]
I knew my rent was gon' be late about a week ago
I worked my ass off, but I still can't pay it though
But I got just enough
To get off in this club
Have me a good time, before my time is up
Hey, let's get it now

[Chorus: Ne-Yo]
Oooh!!  I want the time of my life
Oh baby ooh give me the time of my life
Eh, eh, eh
Let's get it now

[Verse 2: Pitbull]
Tonight I'mma lose my mind
Better get yours cause I'm gonna get mine
Party every night, like my last
Mami know the drill, shake that ass
Go ahead baby let me see what you got
You know you got the biggest booty in this spot
And I just wanna see that thing drop
From the back to the front to the top
You know me I'm off in the cut
Always like a squirrel, looking for a nut
This isn't for show I'm not talking 'bout luck
I'm not talking 'bout love, I'm talking 'bout lust
Now let's get loose, have some fun
Forget about bills and the first of the month
It's my night, your night, our night, let's turn it up

[Pre-Chorus: Ne-Yo]
I knew my rent was gon' be late about a week ago
I worked my ass off, but I still can't pay it though
But I got just enough
To get off in this club
Have me a good time, before my time is up
Hey, let's get it now

[Chorus: Ne-Yo]
Oooh!!  I want the time of my life
Oh baby ooh give me the time of my life
Eh, eh, eh
Let's get it now

[Bridge: Ne-Yo]
Everybody goin' through something
(Everybody goin' through something)
I said, everybody goin' through something
(Everybody goin' through something)
So you might as well you roll it up
Pour it up, drink it up, throw it up tonight
I said, everybody goin' through something
(Everybody goin' through something)
Said, everybody goin' through something
(Everybody goin' through something)
So you might as well you roll it up
Pour it up, drink it up, throw it up tonight, yeah...

[Break: Pitbull]
This for everybody going through tough times
Believe me, been there, done that
But every day above ground is a great day, remember that—Dali!

[Pre-Chorus: Ne-Yo]
I knew my rent was gon' be late about a week ago
I worked my ass off, but I still can't pay it though
But I got just enough
To get off in this club
Have me a good time, before my time is up
Hey, let's get it now

[Chorus: Ne-Yo]
Oooh!!  I want the time of my life
Oh baby ooh give me the time of my life
Let's get it now"
Stuck On A FeelingPrince Royce,"[Intro: Snoop Dogg]
Prince Royce
Big Snoop Dogg (What?)
She got me stuck on a feeling
She got me stuck on a feeling
(¿Qué lo que, mami?)

[Verse 1: Prince Royce]
I like you talking dirty, I like your filthy love
You like the way I hold you when we are falling in love
(Yo sé que si) In love
(Mami, yo sé que si) If it's love
Then I don't want to come back up
Girl I know you're a handful 'cause you know what you like
You might be hard to handle but I'ma show you tonight
(Pero que rica estás) Tonight
(Que rica estás) What it's like
(What it's like) When you're

[Chorus: Prince Royce]
Stuck on a feeling
Just can't stop, once ain't enough
Better lock this down, better box it up
Gotta work me out, make it real
Gotta make it count, get stuck on a feeling
Just can't stop, once ain't enough
Better lock this down, better box it up
Gotta work me out, make it real
Gotta make it count, get stuck on a feeling

[Post-Chorus: Prince Royce]
(Dímelo, mami)
Stuck on a feeling
Check it out

[Verse 2: Prince Royce]
Let's go hide out in private
Won't you show me your place? (Your place)
A little peace and quiet (Woo)
Where we can both misbehave (Misbehave)
Misbehave (Misbehave)
It's okay (It's okay) when you're

[Chorus: Prince Royce]
Stuck on a feeling
Just can't stop, once ain't enough
Better lock this down, better box it up
Gotta work me out, make it real
Gotta make it count, get stuck on a feeling
Just can't stop, once ain't enough
Better lock this down, better box it up
Gotta work me out, make it real
Gotta make it count, get stuck on a feeling

[Post-Chorus: Snoop Dogg & Prince Royce]
What, what, what, what, what?
(Ven conmigo mami)
Stuck on a feeling

[Bridge: Snoop Dogg]
She got me stuck on a feeling
She got me stuck on a feeling
She got me stuck on a feeling
She got me stuck on a, she got me, she got, she got

[Verse 3: Snoop Dogg]
Wheelin' and dealin, appealin, I'm realin'
Ya still in love with me, all green
I'm at it, romantic, no panic, organic
Slide right next to me, in ecstasy
Now who could ever make you feel like I felt
You're laying on your bed, just playing with yourself
You're moaning and groaning, you're squirming and squealing
Guess it's true, I left you

[Chorus: Prince Royce & Snoop Dogg]
Stuck on a feeling
Just can't stop, once ain't enough
Better lock this down, better box it up (Yeah-eh)
Gotta work me out, make it real (Work it out, yeah)
Gotta make it count, get stuck on a feeling
Just can't stop, once ain't enough (Stuck on a feeling)
Better lock this down, better box it up (Stuck on a feeling)
Gotta work me out, make it real (What, what, what, what, what?)
Gotta make it count, get stuck on a feeling (She got me)

[Bridge: Snoop Dogg & Prince Royce]
She got me stuck on a feeling
She got me stuck on a feeling
She got me stuck on a feeling
Stuck on a, stuck on a feeling
She got me
Yeah, yeah, she got me, she got me
Yeah, yeah, she got me, she got me
Stuck on a, stuck on a, stuck on a, stuck on a feeling
She got me stuck on a feeling (What?)"
I LivedOneRepublic,"[Verse 1]
Hope when you take that jump
You don't fear the fall
Hope when the water rises
You built a wall
Hope when the crowd screams out
It's screaming your name
Hope if everybody runs
You choose to stay
Hope that you fall in love
And it hurts so bad
The only way you can know
Is give it all you have
And I hope that you don't suffer
But take the pain
Hope when the moment comes
You'll say

[Hook]
I, I did it all
I, I did it all
I owned every second that this world could give
I saw so many places
The things that I did
Yeah, with every broken bone
I swear I lived

[Verse 2]
Hope that you spend your days
But they all add up
And when that sun goes down
Hope you raise your cup
Oh, oh
I wish that I could witness
All your joy and all your pain
But until my moment comes
I'll say

[Hook]
I, I did it all
I, I did it all
I owned every second that this world could give
I saw so many places
The things that I did
Yeah, with every broken bone
I swear I lived

[Bridge]
Oh, whoa, oh, oh, oh, oh, oh, oh
Oh, whoa, oh, oh, oh, oh, oh, oh
Oh, whoa, oh, oh, oh, oh, oh, oh
Oh, oh, oh, oh
With every broken bone
I swear I lived
With every broken bone
I swear I

[Hook]
I, I did it all
I, I did it all
I owned every second that this world could give
I saw so many places
The things that I did
Yeah, with every broken bone
I swear I lived

[Outro]
Oh, whoa, oh, oh, oh, oh, oh, oh
Oh, whoa, oh, oh, oh, oh, oh, oh
I swear I lived
Oh, whoa, oh, oh, oh, oh, oh, oh
Oh, oh, oh, oh"
BlameCalvin Harris,"[Verse 1: John Newman]
Can't be sleeping
Keep on waking without the woman next to me
Guilt is burning, inside I'm hurting
This ain't a feeling I can keep

[Pre-Hook: John Newman]
So blame it on the night
Don't blame it on me, don't blame it on me
Blame it on the night
Don't blame it on me, don't blame it on me

[Hook: John Newman]
Blame it on the night
Don't blame it on me, don't blame it on me
So blame it on the night
Don't blame it on me, don't blame it on me

[Verse 2: John Newman]
Can't you see it? I was manipulated
I had to let her through the door
I had no choice in this, I was the friend she missed
She needed me to talk

[Pre-Hook: John Newman]
So blame it on the night
Don't blame it on me, don't blame it on me
Blame it on the night
Don't blame it on me, don't blame it on me

[Hook: John Newman]
Blame it on the night
Don't blame it on me, don't blame it on me
So blame it on the night
Don't blame it on me, don't blame it on me

[Bridge: John Newman]
Oh I'm so sorry, so sorry baby
(I'll be better this time...)
I will be better this time
I got to say, I'm so sorry
Oh I promise
(I'll be better this time, I'll be better this time...)

[Outro: John Newman]
Don't blame it on me
Don't blame it on me"
StyleTaylor Swift,"[Verse 1]
Midnight
You come and pick me up, no headlights
Long drive
Could end in burning flames or paradise
Fade into view, oh
It's been a while since I have even heard from you
(Heard from you)
And I should just tell you to leave, 'cause I
Know exactly where it leads, but I
Watch us go 'round and 'round each time

[Chorus]
You got that James Dean daydream look in your eye
And I got that red lip classic thing that you like
And when we go crashing down, we come back every time
'Cause we never go out of style, we never go out of style
You got that long hair, slicked back, white t-shirt
And I got that good girl faith and a tight little skirt
And when we go crashing down, we come back every time
'Cause we never go out of style, we never go out of style

[Verse 2]
So it goes
He can't keep his wild eyes on the road (mm)
Takes me home
The lights are off, he's taking off his coat (mm, yeah)
I say, ""I heard, oh
That you've been out and about with some other girl""
Some other girl
He says, ""What you heard is true, but I
Can't stop thinking 'bout you,"" and I
I said, ""I've been there too a few times""

[Chorus]
'Cause you got that James Dean daydream look in your eye
And I got that red lip classic thing that you like
And when we go crashing down, we come back every time
'Cause we never go out of style, we never go out of style
You got that long hair, slicked back, white t-shirt
And I got that good girl faith and a tight little skirt
(A tight little skirt)
And when we go crashing down, we come back every time
'Cause we never go out of style (we never go, we never go)
We never go out of style

[Bridge]
Take me home
Just take me home
Yeah, just take me home
Oh-oh, whoa-oh, oh
(Out of style)

[Chorus]
Oh, you got that James Dean daydream look in your eye
And I got that red lip classic thing that you like
And when we go crashing down (and when we go)
We come back every time
'Cause we never go out of style, we never go out of style"
