,Lyrics
The Abbot pays the rent every week. Mam gets the relief and the food dockets till someone informs on her and she's cut off from the Dispensary. She's told that if her son is bringing in a pound a week that's more than some families get on the dole and she should be grateful he has a job. Now I have to hand over my wages. Mam says, A pound? Is that all you get for riding around in all kinds of weather? This would be four dollars in America. Four dollars. And you couldn't feed a cat for four dollars in New York. If you were delivering telegrams for Western Union in New York you'd be earning twenty-five dollars a week and living in luxury. She always translates Irish money into American so that she won't forget and tries to convince everyone times were better over there. Some weeks she lets me keep two shillings but if I go to a film or buy a secondhand book there's nothing left, I won't be able to save for my fare, and I'll be stuck in Limerick till I'm an old man of twenty-five.
Malachy writes from Dublin to say he's fed up and doesn't want to spend the rest of his life blowing a trumpet in the army band. He's home in a week and complains when he has to share the big bed with Michael, Alphie and me. He had his own army cot up there in Dublin with sheets and blankets and a pillow. Now he's back to overcoats and a bolster that sends up a cloud of feathers when you touch it. Mam says, Pity about you. I'm sorry for your troubles. The Abbot has his own bed, and my mother has the small room. We're all together again, no Laman tormenting us. We make tea and fried bread and sit on the kitchen floor. The Abbot says you're not supposed to be sitting on kitchen floors, what are tables and chairs for? He tells Mam that Frankie is not right in the head and Mam says we'll all catch our death from the damp of the floor. We sit on the floor and sing and Mam and The Abbot sit on chairs. She sings ""Are You Lonesome Tonight?"" and the Abbot sings ""The Road to Rasheen"" and we still don't know what his song is about. We sit on the floor and tell stories about things that happened, things that never happened and things that will happen when we all go to America.
There are slow days at the post office and we sit on the bench and talk. We can talk but we are not to laugh. Miss Barry says we should be grateful we're getting paid to sit there, bunch of idlers and streetboys that we are, and that there is to be no laughing. Getting paid for sitting and chatting is no laughing matter and the first titter out of any of us and out we go till we come to our senses and if the tittering continues we'll be reported to the proper authorities.
The boys talk about her under their breath. Toby Mackey says, What that oul' bitch needs is a good rub o' the relic, a good rub o' the brush. Her mother was a streetwalking flaghopper and her father escaped from a lunatic asylum with bunions on his balls and warts on his wank.
There is laughing along the bench and Miss Barry calls to us, I warned ye against the laughing. Mackey, what is it you're prattling about over there?
I said we'd all be better off out in the fresh air on this fine day delivering telegrams, Miss Barry.
I'm sure you did, Mackey. Your mouth is a lavatory. Did you hear
me?
I did, Miss Barry.
You have been heard on the stairs, Mackey. Yes, Miss Barry.
Shut up, Mackey.
I will, Miss Barry.
Not another word, Mackey.
No, Miss Barry.
I said shut up, Mackey.
All right, Miss Barry.
That's the end of it, Mackey. Don't try me. I won't, Miss Barry.
Mother o' God give me patience.
Yes, Miss Barry.
Take the last word, Mackey. Take it, take it, take it.
I will, Miss Barry.
Toby Mackey is a temporary telegram boy like me. He saw a film
called The Front Page and now he wants to go to America some day and be a tough newspaper reporter with a hat and a cigarette. He keeps a notebook in his pocket because a good reporter has to write down what happens. Facts. He has to write down facts not a lot of bloody poetry, which is all you hear in Limerick with men in pubs going on about our great sufferings under the English. Facts, Frankie. He writes down the number of telegrams he delivers and how far he travels. We sit on the bench making sure we don't laugh and he tells me that if we deliver forty telegrams a day that's two hundred a week and that's ten thousand a year and twenty thousand in our two years at the job. If we cycle one hundred and twenty-five miles in a week that's thirteen thousand miles in two years and that's halfway around the world, Frankie, and no wonder there isn't a scrap of flesh on our arses.
Toby says nobody knows Limerick like the telegram boy. We know every avenue, road, street, terrace, mews, place, close, lane. Jasus, says Toby, there isn't a door in Limerick we don't know. We knock on all kinds of doors, iron, oak, plywood. Twenty thousand doors, Frankie. We rap, kick, push. We ring and buzz bells. We shout and whistle, Telegram boy, telegram boy. We drop telegrams in letter boxes, shove them under doors, throw them over the transom. We climb in windows where people are bedridden. We fight off every dog who wants to turn us into dinner. You never know what's going to happen when you hand people their telegrams. They laugh and sing and dance and cry and scream and fall down in a weakness and you wonder if they'll wake up at all and give you the tip. It's not a bit like delivering telegrams in America where Mickey Rooney rides around in a film called The Human Comedy and people are pleasant and falling over themselves to give you a tip, inviting you in, giving you a cup of tea and a bun.
Toby Mackey says he has facts galore in his notebook and he doesn't give a fiddler's fart about anything and that's the way I'd like to be myself.
Mrs. O'Connell knows I like the country telegrams and if a day is sunny she gives me a batch of ten that will keep me away all morning and I don't have to return till after the dinner hour at noon. There are fine autumn days when the Shannon sparkles and the fields are green and glinting with silver morning dew. Smoke blows across fields and there's the sweet smell of turf fires. Cows and sheep graze in the fields and I wonder if these are the beasts the priest was talking about. I wouldn't be surprised because there's no end to the bulls climbing on cows, rams on sheep, stallions on mares, and they all have such big things it makes me break out in a sweat to look at them and I feel sorry for all the female creatures in the world who have to suffer like that though I wouldn't mind being a bull myself because they can do what they like and it's never a sin for an animal. I wouldn't mind going at myself here but you never know when a farmer might come along the road driving cows and sheep to a fair or to another field raising his stick and bidding you, Good day, young fella, grand morning, thank God and His Blessed Mother. A farmer that religious might be offended if he saw you breaking the Sixth Commandment forninst his field. Horses like to stick their heads over fences and hedges to see what's passing by and I stop and talk to them because they have big eyes and long noses that show how intelligent they are. Sometimes two birds will be singing to each other across a field and I have to stop and listen to them and if I stay long enough more birds will join till every tree and bush is alive with birdsong. If there's a stream gurgling under a bridge on the road, birds singing and cows mooing and lambs baaing, that's better than any band in a film. The smell of dinner bacon and cabbage wafting from a farmhouse makes me so weak with the hunger I climb into a field and stuff myself with blackberries for half an hour. I stick my face into the stream and drink icy water that's better than the lemonade in any fish and chip shop.
When I'm finished delivering the telegrams there's enough time to go to the ancient monastery graveyard where my mother's relations are buried, the Guilfoyles and the Sheehans, where my mother wants to be buried. I can see from here the high ruins of Carrigogunnell Castle and there's plenty of time to cycle there, sit up on the highest wall, look at the Shannon flowing out to the Atlantic on its way to America and dream of the day I'll be sailing off myself.
The boys at the post office tell me I'm lucky to get the Carmody family telegram, a shilling tip, one of the biggest tips you'll ever get in Limerick. So why am I getting it? I'm the junior boy. They say, Well, sometimes Theresa Carmody answers the door. She has the consumption and they're afraid of catching it from her. She's seventeen, in and out of the sanatorium, and she'll never see eighteen. The boys at the post office say sick people like Theresa know there's little time left and that makes them mad for love and romance and everything. Everything. That's what the consumption does to you, say the boys at the post office.
I cycle through wet November streets thinking of that shilling tip, and as I turn into the Carmody street the bicycle slides out from under me and I skid along the ground scraping my face and tearing open the back of my hand. Theresa Carmody opens the door. She has red hair. She had green eyes like the fields beyond Limerick. Her cheeks are bright pink and her skin is a fierce white. She says, Oh, you're all wet and bleeding.
I skidded on my bike.
Come in and I'll put something on your cuts.
I wonder, Should I go in? I might get the consumption and that will be the end of me. I want to be alive when I'm fifteen and I want the shilling tip. Come in. You'll perish standing there.
She puts on the kettle for the tea. Then she dabs iodine on my cuts and I try to be a man and not whimper. She says, Oh, you're a great bit of a man. Go into the parlor and dry yourself before the fire. Look, why don't you take off your pants and dry them on the screen of the fire?
Ah, no.
Ah, do.
I will.
I drape my pants over the screen. I sit there watching the steam
rise and I watch myself rise and I worry she might come in and see me in my excitement.
There she is with a plate of bread and jam and two cups of tea. Lord, she says, you might be a scrawny bit of a fellow but that's a fine boyo you have there.
She puts the plate and the cups on a table by the fire and there they stay. With her thumb and forefinger she takes the tip of my excitement and leads me across the room to a green sofa against the wall and all the time my head is filled with sin and iodine and fear of consumption and the shilling tip and her green eyes and she's on the sofa don't stop or I'll die and she's crying and I'm crying for I don't know what's happening to me if I'm killing myself catching consumption from her mouth I'm riding to heaven I'm falling off a cliff and if this is a sin I don't give a fiddler's fart.
We take our ease on the sofa a while till she says, Don't you have more telegrams to deliver? and when we sit up she gives a little cry, Oh, I'm bleeding.
What's up with you?
I think it's because it's the first time.
I tell her, Wait a minute. I bring the bottle from the kitchen and
splash the iodine on her injury. She leaps from the sofa, dances around the parlor like a wild one and runs into the kitchen to douse herself with water. After she dries herself she says, Lord, you're very innocent. You're not supposed to be pouring iodine on girls like that.
I thought you were cut.
For weeks after that I deliver the telegram. Sometimes we have the excitement on the sofa but there are other days she has the cough and you can see the weakness on her. She never tells me she has the weakness. She never tells me she has the consumption. The boys at the post office say I must have been having a great time with the shilling tip and Theresa Carmody. I never tell them I stopped taking the shilling tip. I never tell them about the green sofa and the excitement. I never tell them of the pain that comes when she opens the door and I can see the weakness on her and all I want to do then is make tea for her and sit with my arms around her on the green sofa.
One Saturday I'm told to deliver the telegram to Theresa's mother at her job in Woolworth's. I try to be casual. Mrs. Carmody, I always deliver the telegram to your, I think your daughter, Theresa?
Yes, she's in the hospital.
Is she in the sanatorium?
I said she's in the hospital.
She's like everyone else in Limerick, ashamed of the TB, and she
doesn't give me a shilling or any kind of tip. I cycle out to the
sanatorium to see Theresa. They say you have to be a relation and you have to be adult. I tell them I'm her cousin and I'll be fifteen in August. They tell me go away. I cycle to the Franciscan church to pray for Theresa. St. Francis, would you please talk to God. Tell Him it wasn't Theresa's fault. I could have refused that telegram Saturday after Saturday. Tell God Theresa was not responsible for the excitement on the sofa because that's what the consumption does to you. It doesn't matter anyway, St. Francis, because I love Theresa. I love her as much as you love any bird or beast or fish and will you tell God take the consumption away and I promise I'll never go near her again.
The next Saturday they give me the Carmody telegram. From halfway up the street I can see the blinds are drawn. I can see the black crepe wreath on the door. I can see the white purple-lined mourning card. I can see beyond the door and walls where Theresa and I tumbled naked and wild on the green sofa and I know now she is in hell and all because of me.
I slip the telegram under the door and cycle back down to the Franciscan church to beg for the repose of Theresa's soul. I pray to every statue, to the stained glass windows, the Stations of the Cross. I swear I'll lead a life of faith, hope and charity, poverty, chastity and obedience.
Next day, Sunday, I go to four Masses. I do the Stations of the Cross three times. I say rosaries all day. I go without food and drink and wherever I find a quiet place I cry and beg God and the Virgin Mary to have mercy on the soul of Theresa Carmody.
On Monday I follow the funeral to the graveyard on my post office bicycle. I stand behind a tree a distance from the grave. Mrs. Carmody weeps and moans. Mr. Carmody snuffles and looks puzzled. The priest recites the Latin prayers and sprinkles the coffin with holy water.
I want to go to the priest, to Mr. and Mrs. Carmody. I want to tell them how I'm the one who sent Theresa to hell. They can do whatever they like with me. Abuse me. Revile me. Throw grave dirt at me. But I stay behind the tree till the mourners leave and the grave diggers fill in the grave.
Frost is already whitening the fresh earth on the grave and I think of Theresa cold in the coffin, the red hair, the green eyes. I can't understand the feelings going through me but I know that with all the people who died in my family and all the people who died in the lanes around me and all the people who left I never had a pain like this in my heart and I hope I never will again.
It's getting dark. I walk my bicycle out of the graveyard. I have telegrams to deliver.
XVI
Mrs. O'Connell gives me telegrams to deliver to Mr. Harrington, the Englishman with the dead wife that was born and bred in Limerick. The boys at the post office say sympathy telegrams are a waste of time. People just cry and moan with the grief and they think they're excused from the tip. They'll ask you if you'd like to come in for a look at the departed and a prayer by the bed. That wouldn't be so bad if they offered you a drop of sherry and a ham sandwich. Oh, no, they're happy to get your prayer but you're only a telegram boy and you're lucky if you get a
dry biscuit. Older boys at the post office say you have to play your cards right to get the grief tip. If you're asked in to say a prayer you have to kneel by the corpse, give a powerful sigh, bless yourself, drop your forehead to the bedclothes so they won't see your face, let your shoulders shake like one collapsing with sorrow, hold on to the bed with your two hands as if they're going to have to tear you away to deliver the rest of your telegrams, make sure your cheeks are glinting with tears or the spit you dabbed on, and if you don't get a tip after all that push the next batch of telegrams under the door or fire them over the transom and leave them to their grief.
This isn't my first time delivering telegrams to the Harrington house. Mr. Harrington is always away on business for the insurance company and Mrs. Harrington is generous with the tip. But she's gone and Mr. Harrington answers the doorbell. His eyes are red and he sniffles. He says, Are you Irish?
Irish? What else would I be standing there on his doorstep in Limerick with a batch of telegrams in my hand? I am, sir. He says, Come in. Put the telegrams on the hall stand. He shuts the hall door, locks it, puts the key in his pocket and I think, Aren't Englishmen very peculiar.
You'll want to see her, of course. You'll want to see what you people have done to her with your damn tuberculosis. Race of ghouls. Follow me.
He leads me first to the kitchen where he picks up a plate of ham sandwiches and two bottles, and then upstairs. Mrs. Harrington looks lovely in the bed, blond, pink, peaceful.
This is my wife. She may be Irish but she doesn't look it, thank God. Like you. Irish. You'll need a drink, of course. You Irish quaff at every turn. Barely weaned before you clamor for the whiskey bottle, the pint of stout. You'll have what, whiskey, sherry?
Ah, a lemonade will be lovely.
I am mourning my wife not celebrating the bloody citrus. You'll have a sherry. Swill from bloody Catholic fascist Spain.
I gulp the sherry. He refills my glass and goes to refill his own with whiskey. Damn. Whiskey all gone. Stay here. Do you hear me? I'm going to the pub for another bottle of whiskey. Stay till I come back. Don't move.
I'm confused, dizzy from the sherry. I don't know what you're supposed to do with grieving Englishmen. Mrs. Harrington, you look lovely in the bed. But you're a Protestant, already doomed, in hell, like Theresa. Priest said, Outside the Church there is no salvation. Wait, I might be able to save your soul. Baptize you Catholic. Make up for what I did to Theresa. I'll get some water. Oh, God, the door is locked. Why? Maybe you're not dead at all? Watching me. Are you dead, Mrs. Harrington? I'm not afraid. Your face is icy. Oh, you're dead all right. I'll baptize you with sherry from bloody Catholic fascist Spain. I baptize thee in the name of the Father, the Son, the- What the bloody hell are you doing? Get off my wife, you wretched Papist twit. What primitive Paddy ritual is this? Did you touch her? Did you? I'll wring your scrawny neck.
I - I, -
Oi, Oi, speak English, you scrap.
I was just, a little sherry to get her into heaven.
Heaven? We had heaven, Ann, I, our daughter, Emily. You'll never lay your pink piggy eyes on her. Oh, Christ, I can't stand it. Here, more sherry.
Ah, no, thanks.
Ah, no thanks. That puny Celtic whine. You people love your alcohol. Helps you crawl and whine better. Of course you want food. You have the collapsed look of a starving Paddy. Here. Ham. Eat.
Ah, no thanks.
Ah, no thanks. Say that again and I'll ram the ham up your arse. He waves a ham sandwich at me, with the heel of his hand pushes it
into my mouth.
He collapses into a chair. Oh, God, God, what am I to do? Must rest
a moment.
My stomach heaves. I rush to the window, stick my head out and
throw up. He leaps from the chair and charges me.
You, you, God blast you to hell, you vomited on my wife's rosebush. He lunges at me, misses, falls to the floor. I climb out the
window, hang on to the ledge. He's at the window, grabbing at my hands. I let go, drop to the rosebush, into the ham sandwich and sherry I've just thrown up. I'm pricked by rose thorns, stung, my ankle is twisted. He's at the window, barking, Come back here, you Irish runt. He'll report me to the post office. He hits me in the back with the whiskey bottle, pleads, Will you not watch one hour with me?
He pelts me with sherry glasses, whiskey glasses, assorted ham sandwiches, items from his wife's dressing table, powders, creams, brushes.
I climb on my bike and wobble through the streets of Limerick, dizzy with sherry and pain. Mrs. O'Connell attacks me, Seven telegrams, one address, and you're gone all day.
I was, I was,
You was. You was. Drunk is what you was. Drunk is what you are. Reeking. Oh, we heard. That nice man rang, Mr. Harrington, lovely Englishman that sounds like James Mason. Lets you in to say a prayer for his poor wife and next thing you're out the window with the sherry and the ham. Your poor mother. What she brought into the world.
He made me eat the ham, drink the sherry.
Made you? Jesus, that's a good one. Made you. Mr. Harrington is a refined Englishman and there is no reason for him to lie and we don't want your kind in this post office, people that can't keep their hands off the ham and sherry, so hand in your telegram pouch and bicycle for your days are done in this post office.
But I need the job. I have to save and go to America.
America. Sad day when America lets in the likes of you.
I hobble through the streets of Limerick. I'd like to go back and
throw a brick through Mr. Harrington's window. No. Respect for the dead. I'll go across the Sarsfield Bridge and out the riverbank where I can lie down somewhere in the bushes. I don't know how I can go home and tell my mother I lost my job. Have to go home. Have to tell her. Can't stay out the riverbank all night. She'd be frantic.
Mam begs the post office to take me back. They say no. They never heard the likes. Telegram boy mauling corpse. Telegram boy fleeing scene with ham and sherry. He will never set foot in the post office again. No.
She gets a letter from the parish priest. Take the boy back, says the parish priest. Oh, yes, Father, indeed, says the post office. They'll
let me stay till my sixteenth birthday, not a minute longer. Besides, says Mrs. O'Connell, when you think of what the English did to us for eight hundred years that man had no right to complain over a little ham and sherry. Compare a little ham and sherry to the Great Famine and where are you? If my poor husband was alive and I told him what you did he'd say you struck a blow, Frank McCourt, struck a blow.
Every Saturday morning I swear I'll go to confession and tell the priest of my impure acts at home, on lonely boreens around Limerick with cows and sheep gawking, on the heights of Carrigogunnell with the world looking up.
I'll tell him about Theresa Carmody and how I sent her to hell, and that will be the end of me, driven from the Church.
Theresa is a torment to me. Every time I deliver a telegram to her street, every time I pass the graveyard I feel the sin growing in me like an abscess and if I don't go to confession soon I'll be nothing but an abscess riding around on a bicycle with people pointing and telling each other, There he is, there's Frankie McCourt, the dirty thing that sent Theresa Carmody to hell.
I look at people going to Communion on Sundays, everyone in a state of grace, returning to their seats with God in their mouths, peaceful, easy, ready to die at any moment and go straight to heaven or go home to their rashers and eggs without a worry in the world.
I'm worn out from being the worst sinner in Limerick. I want to get rid of this sin and have rashers and eggs and no guilt, no torment. I want to be ordinary.
The priests tell us all the time that God's mercy is infinite but how can any priest give absolution to someone like me who delivers telegrams and winds up in a state of excitement on a green sofa with a girl dying of the galloping consumption.
I cycle all around Limerick with telegrams and stop at every church. I ride from Redemptorists to Jesuits to Augustinians to Dominicans to Franciscans. I kneel before the statue of St. Francis of Assisi and beg him to help me but I think he's too disgusted with me. I kneel with people in the pews next to confessionals but when my turn comes I can't breathe, my heart pounds, my forehead turns cold and clammy and I run from the church.
I swear I'll go to confession at Christmas. I can't. Easter. I can't. Weeks and months pass and it's a year since Theresa died. I'll go on her anniversary but I can't. I'm fifteen now and I pass churches without stopping. I'll have to wait till I go to America where there are priests like Bing Crosby in Going My Way who won't kick me out of the confessional like Limerick priests.
I still have the sin in me, the abscess, and I hope it doesn't kill me entirely before I see the American priest.
There's a telegram for an old woman, Mrs. Brigid Finucane. She says, How old are you, by?
Fifteen and a half, Mrs. Finucane.
Young enough to make a fool of yourself and ould enough to know better. Are you shmart, by? Are you anyway intelligent?
I can read and write, Mrs. Finucane.
Arrah, there are people above in the lunatic asylum can read and write. Can you write a letter?
I can.
She wants me to write letters to her customers. If you need a suit or dress for your child you can go to her. She gives you a ticket to a shop and they give you the clothes. She gets a discount and charges you the full price and interest on top. You pay her back weekly. Some of her customers fall behind in their payments and they need threatening letters. She says, I'll give you threepence for every letter you write and another threepence if it brings a payment. If you want the job come here on Thursday and Friday nights, and bring your own paper and envelopes.
I'm desperate for that job. I want to go to America. But I have no money for paper and envelopes. Next day I'm delivering a telegram to Woolworth's and there is the answer, a whole section packed with paper and envelopes. I have no money so I have to help myself. But how? Two dogs save the day for me, two dogs at the door of Woolworth's stuck together after the excitement. They yelp and run in circles. Customers and sales clerks giggle and pretend to be looking someplace else and while they're busy pretending I slip paper and envelopes under my sweater, out the door and off on my bike far from stuck dogs.
Mrs. Finucane looks suspicious. That's very fancy stationery you have there, by. Is that your mother's? You'll give that back when you get the money, won't you, by?
Oh, I will.
From now on I'm never to come to her front door. There's a lane behind her house and I'm to come in the back door for fear someone might see me.
In a large ledger she gives me the names and addresses of six customers behind in their payments. Threaten 'em, by. Frighten the life out of 'em.
My first letter,
Dear Mrs. O'Brien,
Inasmuch as you have not seen fit to pay me what you owe me I may be forced to resort to legal action. There's your son, Michael, parading around the world in his new suit which I paid for while I myself have barely a crust to keep body and soul together. I am sure you don't want to languish in the dungeons of Limerick jail far from friends and family.
I remain, yours in litigious anticipation, Mrs. Brigid Finucane She tells me, That's a powerful letter, by, better than anything you'd read in the Limerick Leader. That word, inasmuch, that's a holy terror of a word. What does it mean?
I think it means this is your last chance.
I write five more letters and she gives me money for stamps. On my way to the post office I think, Why should I squander money on stamps when I have two legs to deliver the letters myself in the dead of night? When you're poor a threatening letter is a threatening letter no matter how it comes in the door.
I run through the lanes of Limerick shoving letters under doors, praying no one will see me.
The next week Mrs. Finucane is squealing with joy. Four of 'em paid. Oh, sit down now and write more, by. Put the fear of God in 'em.
Week after week my threatening letters grow sharper and sharper. I begin to throw in words I hardly understand myself.
Dear Mrs. O'Brien,
Inasmuch as you have not succumbed to the imminence of litigation in our previous epistle be advised that we are in consultation with our barrister above in Dublin.
Next week Mrs. O'Brien pays. She came in tremblin' with tears in her eyes, by, and she promised she'd never miss another payment.
On Friday nights Mrs. Finucane sends me to a pub for a bottle of sherry. You're too young for sherry, by. You can make yourself a nice cup of tea but you have to use the tea leaves left over from this morning. No, you can't have a piece of bread with the prices they're charging. Bread is it? Next thing you'll be asking for an egg.
She rocks by the fire, sipping her sherry, counting the money in the purse on her lap, entering payments in her ledger before she locks everything in the trunk under her bed upstairs. After a few sherries she tells me what a lovely thing it is to have a little money so you can leave it to the Church for Masses to be said for the repose of your soul. It makes her so happy to think of priests saying Masses for her years and years after she's dead and buried.
Sometimes she falls asleep and if the purse drops to the floor I help myself to an extra few shillings for the overtime and the use of all the big new words. There will be less money for the priests and their Masses but how many Masses does a soul need and surely I'm entitled to a few pounds after the way the Church slammed doors in my face? They wouldn't let me be an altar boy, a secondary school pupil, a missionary with the White Fathers. I don't care. I have a post office savings account and if I keep writing successful threatening letters, helping myself to the odd few shillings from her purse and keeping the stamp money, I'll have my escape money to America. If my whole family dropped from the hunger I wouldn't touch this money in the post office.
Often I have to write threatening letters to neighbors and friends of my mother and I worry they might discover me. They complain to Mam, That oul' bitch, Finucane, below in Irishtown, sent me a threatening letter. What kind of a demon outa hell would torment her own kind with a class of a letter that I can't make head nor tail of anyway with words never heard on land or sea. The person that would write that letter is worse than Judas or any informer for the English.
My mother says anyone that writes such letters should be boiled in oil and have his fingernails pulled out by blind people.
I'm sorry for their troubles but there's no other way for me to save the money for America. I know that someday I'll be a rich Yank and send home hundreds of dollars and my family will never have to worry about threatening letters again.
***
Some of the temporary telegram boys are taking the permanent exam in August. Mrs. O'Connell says, You should take that exam, Frank McCourt. You have a bit of a brain in your head and you'd pass it no bother. You'd be a postman in no time and a great help to your poor mother.
Mam says I should take it, too, become a postman, save up, go to America and be a postman over there and wouldn't that be a lovely life.
I'm delivering a telegram to South's pub on a Saturday and Uncle Pa Keating is sitting there, all black as usual. He says, Have a lemonade there, Frankie, or is it a pint you want now that you're near sixteen?
Lemonade, Uncle Pa, thanks.
You'll want your first pint the day you're sixteen, won't you? I will but my father won't be here to get it for me.
Don't worry about that. I know 'tis not the same without your
father but I'll get you the first pint. 'Tis what I'd do if I had a son. Come here the night before you're sixteen.
I will, Uncle Pa.
I hear you're taking that exam for the post office?
I am.
Why would you do a thing like that? 'Tis a good job and I'd be a
postman in no time and it has the pension.
Ah, pension my arse. Sixteen years of age an' talking about the
pension. Is it coddin' me you are? Do you hear what I said, Frankie? Pension my arse. If you pass the exam you'll stay in the post office nice and secure the rest of your life. You'll marry a Brigid and have five little Catholics and grow little roses in your garden. You'll be dead in your head before you're thirty and dried in your ballocks the year before. Make up your own bloody mind and to hell with the safeshots and the begrudgers. Do you hear me, Frankie McCourt?
I do, Uncle Pa. That's what Mr. O'Halloran said.
What did he say?
Make up your own mind.
True for Mr. O'Halloran. 'Tis your life, make your own decisions
and to hell with the begrudgers, Frankie. In the heel o' the hunt you'll be going to America anyway, won't you?
I will, Uncle Pa.
The day of the exam I'm excused from work. There's a sign in an office window on O'Connell Street, SMART BOY WANTED, NEAT HANDWRITING, GOOD AT SUMS, APPLY HERE TO MANAGER, MR. MCCAFFREY, EASONS LTD.
I stand outside the place of the exam, the house of the Limerick Protestant Young Men's Association. There are boys from all over Limerick climbing the steps to take the exam and a man at the door is handing them sheets of paper and pencils and barking at them to hurry up, hurry up. I look at the man at the door, I think of Uncle Pa Keating and what he said, I think of the sign in Easons' office, SMART BOY WANTED. I don't want to go in that door and pass that exam for if I do I'll be a permanent telegram boy with a uniform, then a postman, then a clerk selling stamps for the rest of my life. I'll be in Limerick forever, growing roses with my head dead and my ballocks all dried up.
The man at the door says, You, are you coming in here or are you goin' to stand there with your face hanging out?
I want to say to the man, Kiss my arse, but I still have a few weeks left in the post office and he might report me. I shake my head and walk up the street where a smart boy is wanted.
The manager, Mr. McCaffrey, says, I would like to see a specimen of your handwriting, to see, in short, if you have a decent fist. Sit down there at that table. Write your name and address and write me a paragraph explaining why you came here for this job and how you propose to rise in the ranks of Eason and Son, Ltd., by dint of perseverance and assiduity where there is great opportunity in this company for a boy that will keep his eye on the guidon ahead and guard his flanks from the siren call of sin.
I write,
Frank McCourt,
4 Little Barrington Street,
Limerick City,
County Limerick,
Ireland
I am applying for this job so that I can rise to the highest ranks of Easons Ltd., by dint of perseverance and assadooty knowing that if I keep my eyes ahead and protect my flanks I'll be safe from all temptation and a credit to Easons and Ireland in general.
What's this? says Mr. McCaffrey. Do we have here a twisting of the truth?
I don't know, Mr. McCaffrey.
Little Barrington Street. That's a lane. Why are you calling it a street? You live in a lane, not a street.
They call it a street, Mr. McCaffrey.
Don't be getting above yourself, boy.
Oh, I wouldn't, Mr. McCaffrey.
You live in a lane and that means you have nowhere to go but up. Do
you understand that, McCourt?
I do, sir.
You have to work your way out of the lane, McCourt. I do, Mr. McCaffrey.
You have the cut and jib of a lane boy, McCourt. Yes, Mr. McCaffrey.
You have the look of the lane all over you. All over you from poll to toe cap. Don't try to fool the populace, McCourt. You'd have to rise early in the morning to fool the likes of me.
Oh, I wouldn't, Mr. McCaffrey.
Then there's the eyes. Very sore eyes you have there. Can you see? I can, Mr. McCaffrey.
You can read and write but can you do addition and subtraction?
I can, Mr. McCaffrey.
Well, I don't know what the policy is on sore eyes. I would have to
ring Dublin and see where they stand on sore eyes. But your writing is clear, McCourt. A good fist. We'll take you on pending the decision on the sore eyes. Monday morning. Half six at the railway station.
In the morning? In the morning. We don't give out the bloody morning papers at night, do we?
No, Mr. McCaffrey.
Another thing. We distribute The Irish Times, a Protestant paper, run by the freemasons in Dublin. We pick it up at the railway station. We count it. We take it to the newsagents. But we don't read it. I don't want to see you reading it. You could lose the Faith and by the look of those eyes you could lose your sight. Do you hear me, McCourt?
I do, Mr. McCaffrey.
No IrishTimes, and when you come in next week I'll tell you about all the English filth you're not to read in this office. Do you hear me?
I do, Mr. McCaffrey.
Mrs. O'Connell has the tight mouth and she won't look at me. She says to Miss Barry, I hear a certain upstart from the lanes walked away from the post office exam. Too good for it, I suppose.
True for you, says Miss Barry.
Too good for us, I suppose.
True for you.
Do you think he'd ever tell us why he didn't take the exam?
Oh, he might, says Miss Barry, if we went down on our two knees. I tell her, I want to go to America, Mrs. O'Connell.
Did you hear that, Miss Barry?
I did, indeed, Mrs. O'Connell.
He spoke.
He did, indeed.
He will rue the day, Miss Barry.
Rue he will, Mrs. O'Connell.
Mrs. O'Connell talks past me to the boys waiting on the bench for
their telegrams, This is Frankie McCourt who thinks he's too good for the post office.
I don't think that, Mrs. O'Connell.
And who asked you to open your gob, Mr. High and Mighty? Too grand for us, isn't he, boys?
He is, Mrs. O'Connell.
And after all we did for him, giving him the telegrams with the good tips, sending him to the country on fine days, taking him back after his disgraceful behavior with Mr. Harrington, the Englishman, disrespecting the body of poor Mrs. Harrington, stuffing himself with ham sandwiches, getting fluthered drunk on sherry, jumping out the window and destroying every rosebush in sight, coming in here three sheets to the wind, and who knows what else he did delivering telegrams for two years, who knows indeed, though we have a good idea, don't we, Miss Barry?
We do, Mrs. O'Connell, though 'twouldn't be a fit subject to be talking about.
She whispers to Miss Barry and they look at me and shake their heads.
A disgrace he is to Ireland and his poor mother. I hope she never finds out. But what would you expect of one born in America and his father from the North. We put up with all that and still took him back.
She keeps talking past me again to the boys on the bench.
Going to work for Easons he is, working for that pack of freemasons and Protestants above in Dublin. Too good for the post office but ready and willing to deliver all kinds of filthy English magazines all over Limerick. Every magazine he touches will be a mortal sin. But he's leaving now, so he is, and a sorry day it is for his poor mother that prayed for a son with a pension to take care of her in her latter days. So here, take your wages and go from the sight of us.
Miss Barry says, He's a bad boy, isn't he, boys?
He is, Miss Barry.
I don't know what to say. I don't know what I did wrong. Should I
say I'm sorry? Good-bye?
I lay my belt and pouch on Mrs. O'Connell's desk. She glares at me,
Go on. Go to your job at Easons. Go from us. Next boy, come up for your telegrams.
They're back at work and I'm down the stairs to the next part of my life.
XVII
